Delta fr 0°	Delta fr err 0°	Delta n_s 0°	Delta n_s 0° err	Delta fr 45°	Delta fr err 45°	Delta n_s 45°	Delta n_s 45° err	Delta fr 90°	Delta fr err 90°	Delta n_s 90°	Delta n_s 90° err	Delta fr 135°	Delta fr err 135°	Delta n_s 135°	Delta n_s 135° err	fields 0°	fields 45°	fields 90°	fields 135°			
-0.00136499974886678	2.29324674734173E-5	-0.00346935436661698	5.82442741875067E-5	-0.00972741947634247	3.78197372891492E-5	-0.0245095755345965	9.43704047992553E-5	-0.0100184123344468	3.96036050360307E-5	-0.0252342644220104	9.88810089127452E-5	-0.00933140072074506	3.75852801618745E-5	-0.0235206979905817	9.38528422734595E-5	0.15	0.15	0.15	0.15			
-0.00135283791000642	2.30828653278264E-5	-0.00343848688227678	5.86268491430962E-5	-0.00928019422513852	5.89822337111615E-5	-0.0233936053746984	1.47273928371143E-4	-0.00979814542466953	3.3725062557471E-5	-0.0246851096563854	8.42918415214668E-5	-0.00947880306831397	3.50890353222527E-5	-0.0238885784579059	8.75979902316433E-5	0.155	0.155	0.155	0.155			
-0.00140448281740287	2.29029402323317E-5	-0.00356955938112715	5.81657708534459E-5	-0.0094978477963349	3.29120632408076E-5	-0.0239368506477546	8.21743525865001E-5	-0.00990840758658139	3.37197293368057E-5	-0.024960039431434	8.42613131215396E-5	-0.0095395863560825	3.22658776077224E-5	-0.0240402458764844	8.05465089123513E-5	0.16	0.16	0.16	0.16			
-0.00140671503930019	2.31602571438077E-5	-0.00357522434302398	5.88181172990509E-5	-0.00932747543595763	3.13107309586976E-5	-0.0235116363129975	7.82077763591032E-5	-0.00978609591265363	4.08619536806019E-5	-0.0246550613443843	1.02058135103814E-4	-0.00917512426296639	3.07831238273439E-5	-0.023130546445062	7.6905719395385E-5	0.165	0.165	0.165	0.165			
-0.0014381266674563	2.32827254966439E-5	-0.003654938381314	5.91257436882592E-5	-0.00874947154343453	6.00353838877719E-5	-0.0220679318623694	1.50067166537074E-4	-0.00976710365058056	3.34058532559694E-5	-0.0246076981088649	8.35024562570571E-5	-0.00883760301329285	3.75349813952494E-5	-0.0222874749509179	9.38220544420558E-5	0.17	0.17	0.17	0.17			
-0.0015341127508148	2.34139264516524E-5	-0.00389849213590801	5.944933510428E-5	-0.00902210687275865	2.92461727197829E-5	-0.0227491212543453	7.31024338472283E-5	-0.00981186492979872	3.36315381976734E-5	-0.0247193215731061	8.40570098377715E-5	-0.00887417698594385	3.49815966585528E-5	-0.0223788592603594	8.7437766593187E-5	0.175	0.175	0.175	0.175			
-0.0015335932408088	2.34654888966916E-5	-0.00389717406990898	5.95801062306886E-5	-0.00934873706354021	4.62062873057515E-5	-0.0235647092048029	1.15369866555724E-4	-0.0098862829697069	3.53262471307975E-5	-0.0249048785563145	8.82614578225092E-5	-0.00943854669481912	3.25339537203051E-5	-0.023788119542724	8.12317142959492E-5	0.18	0.18	0.18	0.18			
-0.00161086696294923	2.33822160663217E-5	-0.00409321206282998	5.93616733328444E-5	-0.00932070697177874	5.11990897712254E-5	-0.0234947405010527	1.27836686107514E-4	-0.0097172286872179	3.94320014113637E-5	-0.0244833101267318	9.8510894113939E-5	-0.00934120990254158	3.60786702910701E-5	-0.0235451828369816	9.00917759344737E-5	0.185	0.185	0.185	0.185			
-0.00167531196470143	2.291695483041E-5	-0.00425668029064086	5.81764892160637E-5	-0.00935037052103636	4.5376468600666E-5	-0.0235687865146897	1.13298759461923E-4	-0.00980213886890216	3.35253176284236E-5	-0.0246950680889105	8.37942539633832E-5	-0.00925808098049551	3.73642956738843E-5	-0.0233376676269859	9.33154299711383E-5	0.19	0.19	0.19	0.19			
-0.00159813292258839	2.51155130860639E-5	-0.00406090887714653	6.37566488820403E-5	-0.00940051976290656	4.0627013281564E-5	-0.0236939584065191	1.01437093489527E-4	-0.00980826100871339	3.41168356107011E-5	-0.0247103346783667	8.52650078303825E-5	-0.00881703520234499	5.93780020226536E-5	-0.0222360808306802	1.48395639181136E-4	0.195	0.195	0.195	0.195			
